class,freq_k,inv_freq_k,r_k,one_minus_eta_k,u_k,v_k_0
ceiling,0.19162614396626215,5.218494613010951,0.025427178658568535,0.015459807212759746,0.05897069549230449,0.04219893707543651
floor,0.16530988984384457,6.049244851258582,0.029475019328156396,0.007170266744982889,0.02735063969413513,0.028412829511145765
wall,0.27163180066477705,3.681454076999283,0.01793792989759667,0.046978612317677526,0.17919767067666081,0.09856780028712875
beam,0.024225706541190013,41.27846584369952,0.20112982834982265,0.2621608424946795,1.0,0.6005649141749113
column,0.02127571629751672,47.00194277908843,0.22901753953409493,0.1306070444122196,0.49819432669419433,0.36360593311414463
window,0.021187304719483435,47.198075132247446,0.22997319681734013,0.060834075507016805,0.23204867259400655,0.23101093470567335
door,0.05482521290226575,18.239783250502857,0.08887356638210807,0.06366819272397595,0.24285927722126568,0.16586642180168687
table,0.03242913584896549,30.83646769551217,0.15025106499833418,0.06937063510196018,0.26461097104296966,0.20743101802065192
chair,0.04070302238354288,24.56820013455123,0.1197088548454521,0.027978367592873643,0.1067221455600924,0.11321550020277224
sofa,0.0048725121982827226,205.23293925306987,1.0,0.07458038008631118,0.28448329421212004,0.64224164710606
bookcase,0.04727087086056222,21.15467690345205,0.1030764212627999,0.059075977546828695,0.22534249197809786,0.1642094566204489
board,0.012615374927915693,79.2683535538186,0.38623601962876875,0.0435714108668952,0.1662010636381727,0.2762185416334707
clutter,0.11202730884539129,8.926394914833654,0.043493968109215846,0.12012612129553257,0.4582153465499734,0.2508546573295946
