class,eta_k,v_k_0,m_k_0
ceiling,0.9845401927872403,0.04219893707543651,0.0
floor,0.9928297332550171,0.028412829511145765,0.0
wall,0.9530213876823225,0.09856780028712875,0.0
beam,0.7378391575053205,0.6005649141749113,0.0
column,0.8693929555877804,0.36360593311414463,0.0
window,0.9391659244929832,0.23101093470567335,0.0
door,0.936331807276024,0.16586642180168687,0.0
table,0.9306293648980398,0.20743101802065192,0.0
chair,0.9720216324071264,0.11321550020277224,0.0
sofa,0.9254196199136888,0.64224164710606,0.0
bookcase,0.9409240224531713,0.1642094566204489,0.0
board,0.9564285891331048,0.2762185416334707,0.0
clutter,0.8798738787044674,0.2508546573295946,0.0
